effective_date,source_url,price_image_url,ron95_vung1
9/26/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-21-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-26-9-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/3422e80396e44c9a80936dec893b1359/Gia%2026.9.2020.png,15 270
10/12/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-22-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-10-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/9db55156b8d24c5fa0c4e3c221dcfb85/Gia%2012.10.2020.png,15 120
10/27/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-23-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-10-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/11cfaff299974448b7ad99b7b626ee47/Gia%2027.10.2020.png,14 940
11/11/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-24-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-11-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/f6c20da5d94e40db8a19718ca8922a18/Gi%C3%A1%2011.11.2020.png,14 700
11/26/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-30-ngay-26-11-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/d39c77abb6804007b4d93ef29a38a147/Gia%2026.11.2020.png,15 350
12/11/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-26-2020-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-16-gio-00-ngay-11-12-2020.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/7530a8a6532042f6bdd3c6b6243878dd/Gia%2011.12.2020.png,16 000
12/26/2020,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-26-12-2020.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/9ec8f2b78c2a4f98966be25b89d317cc/2020-12-26_14-30-46.jpg,16 470
1/11/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-01-2021-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-01-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/10cee91dba7f4a07b5d35a28f2a5792f/Gia%2011.01.2021.png,16 930
1/26/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-02-2021-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-26-01-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/9fb44f8fe92140a6ab0d5f3e3f2c54a8/Gia%2026.1.2021.png,17 270
2/10/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-giu-nguyen-gia-xang-dau-tu-15-gio-00-ngay-10-02-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/9fb44f8fe92140a6ab0d5f3e3f2c54a8/Gia%2026.1.2021.png,17 270
2/25/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-04-2021-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-25-02-2021.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/2508a3aba6e14d9ba374aed88ae41513/b%E1%BA%A3ng%20gi%C3%A1.jpg,18 080
3/12/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-3-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/86efd94508b24ac4bb491e7a0a6a0b5c/Gia%2012.3.2021.PNG,18 880
3/27/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-3-2021.html,https://files.petrolimex.com.vn/jpgs/6783DC1271FF449E95B74A9520964169/0c8a0a4259ea422aba1d6b2c28eb000a/GI%C3%81.JPG,19 040
4/12/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-07-2021-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-16-gio-30-ngay-12-4-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/eaccbcfa05b841269e690b2c2c62abf2/Gia%2012.4.2021.png,18 970
4/27/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/thong-cao-bao-chi-so-09-2021-plx-tcbc-petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-4-2021.html,https://files.petrolimex.com.vn/pngs/6783DC1271FF449E95B74A9520964169/390c5ba8348d4072bc545f19eddd5472/Gia%2027.4.2021.png,19 160
5/12/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-5-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/5eed257647b442d8940edfe2ff651d0c/Gia%2012.5.2021.png,19 530
5/27/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-giu-nguyen-gia-xang-dau-tu-15-gio-00-ngay-27-5-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/ea18678531ed48c5a885cf76615ef390/Gi%C3%A1%2027.5.2021.png,19 530
6/11/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-6-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/ddcc6d4ab6994be2bf3e7cb3169ee2e1/Gia%2011.6.2021.png,20 160
6/26/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-26-6-2021.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/4f2793470d564622b33163ae3333f763/2021-06-26_14-42-18.jpg,20 910
7/12/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-7-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/f9db9a4911894c0e8f559fda2f177d5b/Gia%2012.7.2021.png,21 780
7/27/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-27-7-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/f7d95859d5d24bd1b8b9d3bc17e05b09/Gia%2027.7.2021.png,21 680
8/11/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-8-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/27ae828432f04279966c026fd59ffb6d/Gia%2011.8.2021.png,21 680
8/26/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-26-8-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/b9c07be735b44a398a350906a8581156/Gia%2026.8.20021.png,21 130
